f_3pva18m,mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all
1,201808,45.0,0.0,45553.69087,0.01048984,0.011302745,,0.010502923,0.0,0.54848657,0.467167887,0.416247648,0.0,1.077494493,0.00800958,1.0,1.077494493,128.7213115,14.75409836,66.21639344,2.0,2.0,2.0,0.0,1.0,1.0,0.0,7405.533573,0.017681159,0.009670732,,0.004758028,0.0,0.509233843,0.443848734,0.402080254,0.0,0.54695122,0.002564278,1.062216216,0.54695122,83.37704918,14.2295082,40.39344262,1.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,3.0
0,201808,26.0,0.0,963.1808695,0.006342132,0.004869062,,0.0,0.0,0.597746946,0.523581735,0.485279017,0.0,0.767732596,0.0,1.387333333,0.767732596,23.47540984,3.475409836,10.86338798,1.0,1.0,1.0,2.0,2.0,3.0,0.0,963.1808695,0.006342132,0.004869062,,0.0,0.0,0.597746946,0.523581735,0.485279017,0.0,0.767732596,0.0,1.387333333,0.767732596,23.47540984,3.475409836,10.86338798,1.0,1.0,1.0,2.0,2.0,3.0,6.0,6.0,8.0
1,201808,41.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,107.8360656,51.14754098,79.49180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.30429031,0.30429031,0.30429031,0.0,0.0,0.0,1.0,0.0,107.8360656,38.19672131,65.72677596,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
0,201809,30.0,0.0,32753.57889,0.022037779,0.018934426,,0.001230578,0.0,0.535441888,0.466249485,0.43786243,0.0,0.859180328,0.00088,1.297580645,0.859180328,120.852459,1.606557377,48.52459016,1.0,2.0,2.0,2.0,2.0,2.0,0.0,6964.399147,0.0,0.0,,,0.0,0.640403758,0.56128687,0.53949905,0.0,0.112895228,,0.385201613,0.112895228,120.852459,1.049180328,59.53442623,1.0,1.0,1.0,2.0,2.0,2.0,5.0,6.0,7.0
0,201808,54.0,0.0,66374.42506,0.00598362,0.055172414,,0.001966573,0.0,0.503493998,0.439629864,0.393695781,0.0,9.220574713,0.001784348,11.62282857,9.220574713,83.96721311,6.295081967,42.05464481,1.0,1.0,1.0,1.0,1.0,1.0,0.0,368.0343094,0.112410072,0.029411765,,0.0,0.0,0.460504619,0.460504619,0.460504619,0.0,0.261647059,0.0,0.769882353,0.261647059,6.295081967,6.295081967,6.295081967,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0
0,201808,47.0,0.0,2934.827871,0.0,0.0,,,0.0,0.507460284,0.430674043,0.406670449,0.0,0.178613065,,0.674333333,0.178613065,59.27868852,19.54098361,37.82513661,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2934.827871,0.0,0.0,,0.01178752,0.0,0.540191753,0.481148406,0.437769087,0.0,0.166873239,0.00873978,0.674333333,0.166873239,59.27868852,28.81967213,42.14754098,1.0,1.0,1.0,0.0,0.0,0.0,5.0,9.0,10.0
0,201808,53.0,17.32480524,3782.41748,0.05025301,0.001660031,10.97142857,0.00228018,0.004580352,0.685858486,0.544322824,0.480112326,0.000151,0.033033461,0.001352587,0.100324619,0.033033461,162.2622951,18.59016393,101.4557377,4.0,4.0,4.0,0.0,0.0,1.0,0.0,2970.791604,0.0,0.0,,,0.0,0.498830414,0.416115316,0.388951733,0.0,0.026303871,,0.100324619,0.026303871,162.2622951,18.59016393,91.53005464,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0
0,201808,41.0,0.0,76506.00996,0.049704752,0.029938945,,0.007329876,0.0,0.541761714,0.451649415,0.399589813,0.0,0.602335672,0.003083018,0.804387097,0.602335672,227.3442623,2.983606557,88.85842027,2.0,2.0,2.0,1.0,2.0,2.0,0.0,28010.25012,0.037087435,0.010067157,,0.005276117,0.0,0.595045604,0.507416811,0.468378825,0.0,0.271443876,0.002920044,0.336268817,0.271443876,109.442623,2.983606557,56.66666667,2.0,2.0,2.0,1.0,1.0,3.0,5.0,5.0,5.0
1,201808,27.0,0.0,553.0646285,0.490312966,0.140586275,,0.0,0.0,0.570148228,0.502522346,0.502522346,0.0,0.28672763,0.0,0.746551724,0.28672763,39.08196721,1.737704918,14.94262295,1.0,1.0,1.0,2.0,3.0,3.0,0.0,430.2529599,0.249425287,0.055641026,,0.0,0.0,0.608580619,0.608580619,0.608580619,0.0,0.223076923,0.0,0.746551724,0.223076923,1.901639344,1.737704918,1.819672131,0.0,0.0,0.0,2.0,2.0,2.0,9.0,10.0,15.0
0,201808,55.0,0.0,1579.225888,0.082220367,0.004710102,,0.001903726,0.0,0.483437365,0.429713779,0.388893975,0.0,0.057286312,0.000965,0.530591631,0.057286312,366.1311475,47.21311475,234.284153,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1579.225888,0.082220367,0.004377778,,,0.0,0.556653144,0.470516442,0.413997221,0.0,0.053244444,,0.583650794,0.053244444,366.1311475,16.06557377,240.8087432,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0
0,201809,44.0,0.0,0.0,,0.0,,0.077021823,,0.559742302,0.4914075,0.4914075,0.0,0.0,0.071428571,0.063333333,0.0,70.72131148,64.98360656,67.85245902,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.983606557,,0.747890958,0.747890958,0.747890958,0.0,0.0,0.983606557,0.00495935,0.0,64.98360656,64.98360656,64.98360656,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0
0,201809,54.0,1674.534491,46756.71323,0.016696916,0.017159547,0.466214889,0.026049219,0.035813777,1.162960451,0.940226209,0.875857561,0.03680609,1.02770759,0.017533772,1.0,1.02770759,193.704918,9.049180328,43.01639344,7.0,7.0,7.0,1.0,5.0,5.0,0.0,784.8044189,0.0620285,0.0592,,0.0,0.0,0.501850408,0.400082671,0.400082671,0.0,0.9544,0.0,1.0716,0.9544,15.63934426,15.63934426,15.63934426,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,201809,44.0,0.0,8476.298124,0.084201961,0.045965098,,0.052764706,0.0,0.509597539,0.437585575,0.402367922,0.0,0.545891063,0.020048501,1.0,0.545891063,98.49180328,0.819672131,35.88196721,2.0,2.0,2.0,1.0,3.0,5.0,0.0,3531.161357,0.063296438,0.038284107,,0.059863349,0.0,0.519034601,0.439359761,0.405477794,0.0,0.604838256,0.023490923,1.5953,0.604838256,98.49180328,17.08196721,46.03278689,2.0,2.0,2.0,0.0,1.0,1.0,3.0,4.0,4.0
0,201809,52.0,0.0,70861.29682,0.028969688,0.018531586,,,0.0,0.523623873,0.44902081,0.412833082,0.0,0.639688816,,1.4000056,0.639688816,322.1311475,17.24590164,98.28688525,1.0,1.0,1.0,0.0,1.0,3.0,0.0,11185.9608,0.024728253,0.00304199,,,0.0,0.558357162,0.483581344,0.438997949,0.0,0.12301676,,0.598621795,0.12301676,218.8852459,5.967213115,97.16065574,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0
0,201809,31.0,0.0,0.0,,0.0,,0.08459596,,0.558306726,0.500304795,0.500304795,0.0,0.0,0.068812051,0.080542373,0.0,32.6557377,1.672131148,15.59562842,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,,0.0,,0.007833333,,0.542233651,0.514301783,0.526589163,0.0,0.0,0.005885152,1.0,0.0,32.6557377,1.672131148,19.03981265,2.0,2.0,2.0,1.0,3.0,4.0,10.0,12.0,13.0
1,201809,26.0,0.0,5894.170252,0.039988884,0.037571802,,0.019443642,0.0,0.507240985,0.466023867,0.438768167,0.0,0.939556136,0.011302912,1.013560976,0.939556136,26.0,6.360655738,14.91803279,2.0,2.0,2.0,2.0,3.0,3.0,0.0,5433.414356,0.043379959,0.040997151,,0.019443642,0.0,0.490273708,0.44501495,0.416410575,0.0,0.945071225,0.012343793,1.013560976,0.945071225,26.0,9.704918033,17.7704918,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0
1,201808,26.0,0.0,279961.5205,0.012832893,0.01289043,,0.001517334,0.0,0.563637277,0.563637277,0.563637277,0.0,1.004483576,0.001470878,1.0,1.004483576,11.1147541,4.459016393,7.352459016,2.0,2.0,2.0,4.0,4.0,4.0,0.0,7997.474707,0.092383668,0.092759336,,0.091880105,0.0,0.582632482,0.582632482,0.582632482,0.0,1.00406639,0.0485955,1.122697095,1.00406639,11.1147541,8.68852459,9.901639344,2.0,2.0,2.0,2.0,2.0,2.0,13.0,21.0,33.0
1,201809,38.0,16522.87232,37572.21498,0.393358407,0.389632642,0.894478052,0.116266667,0.439763062,1.350209114,1.070196619,0.885681034,0.435597767,0.99052832,0.062800831,1.0,0.99052832,81.37704918,1.081967213,27.02107728,9.0,9.0,9.0,6.0,6.0,7.0,14204.90065,14204.90065,1.0,1.070449711,1.0,1.5696,1.0,4.288950661,3.259026392,2.584007853,1.070449711,1.070449711,1.5696,0.316435669,1.070449711,28.03278689,1.540983607,8.163934426,9.0,9.0,9.0,3.0,3.0,3.0,5.0,8.0,10.0
0,201809,52.0,0.0,3316.032411,0.024980214,0.003976378,,,0.0,0.599476209,0.599476209,0.599476209,0.0,0.159181102,,0.903111111,0.159181102,12.91803279,4.62295082,9.219672131,1.0,1.0,1.0,4.0,5.0,5.0,0.0,3258.457847,0.018122326,0.003396226,,,0.0,0.588680635,0.588680635,0.588680635,0.0,0.18740566,,0.903111111,0.18740566,12.91803279,4.62295082,8.655737705,1.0,1.0,1.0,2.0,3.0,3.0,4.0,9.0,10.0
