mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all,f_3pva18m
201708,31.0,0.0,4802.595806,0.021022318,0.005347985,,0.054528302,0.0,0.510348966,0.431998051,0.383001061,0.0,0.254395604,0.012960997,1.06,0.254395604,88.78688525,20.81967213,49.24590164,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,,0.426776695,0.426776695,0.426776695,0.0,0.0,,0.408163265,0.0,20.81967213,20.81967213,20.81967213,1.0,1.0,1.0,0.0,0.0,2.0,6.0,6.0,6.0,0
201708,25.0,0.0,85979.33145,0.005142247,0.005465463,,0.028194408,0.0,0.479498625,0.424911528,0.391699069,0.0,1.062854966,0.011267059,1.0,1.062854966,57.24590164,10.55737705,32.76721311,2.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,10.55737705,10.55737705,10.55737705,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,6.0,0
201708,50.0,0.0,31147.02752,0.024359859,0.010761618,,0.0,0.0,0.496813844,0.44005645,0.410731524,0.0,0.441776699,0.0,1.738647343,0.441776699,234.7868852,22.29508197,81.52131148,1.0,1.0,1.0,0.0,0.0,2.0,0.0,6684.162776,0.0,0.0,,0.0,0.0,0.542170186,0.477853561,0.441755985,0.0,0.050571429,0.0,0.255777778,0.050571429,234.7868852,3.737704918,94.82786885,1.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,0
201708,43.0,0.0,2711.72588,0.160762246,0.046555556,,,0.0,0.510377419,0.429040664,0.38107766,0.0,0.289592593,,0.753294118,0.289592593,140.4918033,127.0819672,133.7868852,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.549865469,0.459593268,0.410517312,0.0,0.0,,1.0,0.0,140.4918033,76.55737705,108.5245902,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,0
201708,53.0,0.0,55277.45938,0.035940876,0.016253952,,0.0,0.0,0.523262798,0.455800908,0.419149102,0.0,0.452241396,0.0,1.0,0.452241396,197.2131148,10.52459016,73.82201405,1.0,1.0,1.0,1.0,2.0,2.0,0.0,9989.176574,0.029960088,0.002712766,,0.0,0.0,0.564878019,0.497847049,0.46124149,0.0,0.090545995,0.0,0.372,0.090545995,197.2131148,10.52459016,110.6038251,1.0,1.0,1.0,1.0,2.0,2.0,6.0,7.0,8.0,0
201708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
201708,23.0,0.0,85462.66998,0.009945629,0.009563838,,,0.0,0.494448482,0.436075192,0.411086324,0.0,0.96161209,,1.0,0.96161209,34.16393443,12.39344262,24.7295082,1.0,1.0,1.0,0.0,2.0,4.0,0.0,491.6924952,0.088090204,0.0125,,,0.0,0.501850408,0.485814672,0.485814672,0.0,0.1419,,1.0,0.1419,12.39344262,12.39344262,12.39344262,1.0,1.0,1.0,0.0,2.0,2.0,6.0,6.0,6.0,0
201708,47.0,0.0,124652.5531,0.0214911,0.081703704,,0.000579,0.0,0.542143956,0.47160842,0.434748969,0.0,3.801746032,0.000203,8.631166667,3.801746032,134.1967213,5.245901639,46.74863388,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6667.288661,0.059429642,0.007897649,,0.006102274,0.0,0.553055077,0.501155078,0.473771847,0.0,0.132890733,0.00092,0.84762069,0.132890733,46.32786885,9.442622951,23.2295082,2.0,2.0,2.0,4.0,6.0,8.0,6.0,6.0,6.0,0
201708,29.0,0.0,58151.81158,0.046208422,0.028466145,,0.02198735,0.0,0.525487859,0.442606009,0.394344147,0.0,0.616038038,0.009340807,1.0,0.616038038,111.9672131,17.60655738,43.7704918,2.0,2.0,2.0,0.0,1.0,4.0,0.0,13536.67628,0.022202102,0.007691356,,0.0,0.0,0.535421108,0.459151247,0.412649923,0.0,0.34642469,0.0,0.361167538,0.34642469,65.57377049,9.93442623,40.74217586,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,0
201708,45.0,246.0557041,150962.4522,0.035070683,0.024826199,21.51690141,0.001040073,0.001629913,0.54874639,0.464611621,0.416662105,0.0011538,0.707890366,0.000211,1.0,0.707890366,139.3770492,19.67213115,81.39344262,2.0,2.0,2.0,0.0,0.0,4.0,246.0557041,8258.461167,0.065463701,0.023636364,2.197183099,,0.029794377,0.715781213,0.566856517,0.480420975,0.010757576,0.361060606,,0.733230769,0.361060606,137.7377049,81.83606557,104.5508197,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,0
201708,35.0,0.0,4006.130533,0.060781102,0.011557377,,0.0,0.0,0.528423313,0.456455977,0.409058395,0.0,0.190147541,0.0,0.736344828,0.190147541,86.62295082,8.62295082,50.86885246,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4006.130533,0.034399517,0.015056604,,0.0,0.0,0.519615014,0.456900205,0.419722747,0.0,0.437698113,0.0,0.805811321,0.437698113,51.14754098,51.14754098,51.14754098,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
201708,32.0,0.0,30856.16239,0.03537183,0.033199651,,0.01194711,0.0,0.51423345,0.457762896,0.410756056,0.0,0.93859012,0.003827608,1.15863711,0.93859012,143.4754098,37.01639344,93.49180328,2.0,2.0,2.0,0.0,0.0,0.0,0.0,27053.0825,0.017652251,0.005837563,,0.062655008,0.0,0.586199812,0.581057694,0.514280074,0.0,0.33069797,0.010821833,1.15863711,0.33069797,88.36065574,24.8852459,40.74098361,2.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0,6.0,0
