N_SOLICITUD,f_3pva18m,mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all
17000003006349.0,0,2017-11-01,42.0,0.0,479.664785,0.189285714,0.081538462,,0.00023,0.0,0.576189337,0.474816289,0.450653813,0.0,0.430769231,0.000203,0.670153846,0.430769231,202.9180328,17.14754098,110.0327869,2.0,2.0,2.0,0.0,1.0,1.0,0.0,383.5605192,0.0,0.0,,,0.0,0.501850408,0.423952812,0.423952812,0.0,0.344461538,,0.670153846,0.344461538,17.14754098,17.14754098,17.14754098,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
18000004913401.0,0,2018-03-01,64.0,0.0,43501.64816,0.055563252,0.009196489,,0.001924182,0.0,0.524764912,0.483281929,0.481554948,0.0,0.165513868,0.000565,0.423213828,0.165513868,65.90163934,0.786885246,16.07818411,2.0,2.0,2.0,5.0,10.0,12.0,0.0,17084.55211,0.05681473,0.004223639,,0.0,0.0,0.534379509,0.500108037,0.500108037,0.0,0.074340557,0.0,0.235175416,0.074340557,65.90163934,4.360655738,19.9765808,1.0,1.0,1.0,3.0,5.0,6.0,5.0,10.0,12.0
18000009172520.0,0,2018-04-01,53.0,0.0,50054.07978,0.087419888,0.090330572,,0.003587755,0.0,0.527474465,0.464845149,0.432459102,0.0,1.033295446,0.002283669,1.11327202,1.033295446,89.21311475,9.278688525,35.68306011,1.0,1.0,1.0,2.0,4.0,5.0,0.0,966.6679528,0.042633015,0.000349,,0.0,0.0,0.603132697,0.544566609,0.495512215,0.0,0.008189944,0.0,0.73566985,0.008189944,111.8032787,7.049180328,29.84016393,1.0,1.0,1.0,3.0,3.0,5.0,1.0,2.0,3.0
90025500019229.0,0,2017-07-01,28.0,0.0,18270.09861,0.007623284,0.001869464,,,0.0,0.531209017,0.448398718,0.419096295,0.0,0.245230769,,0.249933162,0.245230769,43.86885246,22.16393443,33.01639344,1.0,1.0,1.0,0.0,0.0,2.0,0.0,18130.82045,0.0,0.0,,,0.0,0.501850408,0.423952812,0.396651993,0.0,0.268385604,,0.249933162,0.268385604,22.16393443,22.16393443,22.16393443,1.0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,6.0
90025600040155.0,0,2017-08-01,51.0,0.0,17882.36646,0.0,0.0,,0.005317389,0.0,0.556579999,0.501015969,0.463324669,0.0,0.399697205,0.001102006,1.333029412,0.399697205,112.2295082,12.03278689,64.62295082,2.0,2.0,2.0,0.0,4.0,4.0,0.0,17882.36646,0.0,0.0,,0.005317389,0.0,0.552698642,0.511728887,0.490130231,0.0,0.46928897,0.000964,1.333029412,0.46928897,112.2295082,12.68852459,76.31967213,1.0,2.0,2.0,0.0,2.0,2.0,6.0,8.0,8.0
90025600048073.0,1,2017-08-01,34.0,0.0,12756.39143,0.020668462,0.015833333,,0.016587367,0.0,0.553572737,0.500583535,0.466403058,0.0,0.7660625,0.003260851,1.422919255,0.7660625,106.2295082,1.868852459,32.45901639,2.0,2.0,2.0,4.0,6.0,6.0,0.0,12756.39143,0.020668462,0.016225448,,0.068189212,0.0,0.547486067,0.490789553,0.445898456,0.0,0.785034159,0.012007608,0.954596273,0.785034159,106.2295082,1.868852459,49.23770492,2.0,2.0,2.0,4.0,4.0,4.0,10.0,10.0,12.0
90025600053417.0,1,2017-08-01,23.0,0.0,19844.05182,0.092369408,0.02586569,,0.010952903,0.0,0.700136387,0.583070977,0.525351602,0.0,0.28002442,0.003899669,1.0,0.28002442,50.2295082,10.49180328,26.18735363,6.0,6.0,6.0,2.0,6.0,8.0,0.0,5045.895727,6.86e-05,6.67e-05,,,0.0,0.519615014,0.434411176,0.434411176,0.0,0.971933333,,1.0,0.971933333,17.86885246,17.86885246,17.86885246,1.0,1.0,1.0,0.0,2.0,2.0,10.0,14.0,14.0
90025600056960.0,1,2017-08-01,35.0,0.0,97079.5956,0.017360518,0.015818134,,,0.0,0.590716945,0.506075201,0.450134038,0.0,0.911155649,,1.0,0.911155649,47.57377049,5.278688525,29.30054645,1.0,1.0,1.0,2.0,2.0,2.0,0.0,5178.793722,0.0,0.0,,0.0,0.0,0.582729084,0.518983967,0.469393801,0.0,0.143198091,0.0,0.433945819,0.143198091,47.57377049,6.491803279,33.55191257,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0
90025600058983.0,1,2017-09-01,31.0,0.0,116516.2103,0.032165585,0.077745439,,0.010933366,0.0,0.520130991,0.448248657,0.423012788,0.0,2.417037922,0.003411818,3.428018868,2.417037922,129.0819672,15.86885246,37.08196721,2.0,2.0,2.0,0.0,6.0,8.0,0.0,21339.29475,0.029804694,0.024391534,,,0.0,0.513854174,0.435491735,0.403824045,0.0,0.818378921,,1.346387097,0.818378921,129.0819672,2.819672131,38.66229508,1.0,1.0,1.0,2.0,4.0,6.0,6.0,6.0,10.0
90025600063338.0,0,2017-09-01,54.0,0.0,15121.33364,0.053444667,0.06517758,,,0.0,0.58427695,0.500727354,0.468502233,0.0,1.219533851,,1.363636364,1.219533851,63.57377049,5.147540984,34.37704918,1.0,1.0,1.0,2.0,2.0,4.0,0.0,7687.274271,0.043009309,0.008540704,,0.005746466,0.0,0.602865316,0.520847441,0.454861749,0.0,0.198578031,0.000786,1.1865,0.198578031,63.57377049,0.426229508,29.25409836,1.0,1.0,1.0,6.0,8.0,8.0,2.0,2.0,2.0
90025600066499.0,0,2017-10-01,53.0,0.0,1694.032006,0.068465362,0.004272152,,,0.0,0.521382792,0.46636337,0.423122129,0.0,0.062398734,,0.1875,0.062398734,144.7868852,13.70491803,62.01639344,1.0,1.0,1.0,0.0,1.0,1.0,0.0,429.0493883,0.0004,6.52e-07,,,0.0,0.536419173,0.495337046,0.455230559,0.0,0.00162862,,0.163695828,0.00162862,151.7704918,13.70491803,104.1038251,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
90025600073500.0,0,2017-11-01,32.0,0.0,11578.66323,0.035036951,0.018168526,,,0.0,0.526747774,0.472687143,0.428868169,0.0,0.51855329,,1.0,0.51855329,106.6557377,10.13114754,37.29508197,1.0,1.0,1.0,2.0,3.0,3.0,0.0,763.0790282,0.080837649,0.007881449,,0.0,0.0,0.600865279,0.507970543,0.445414825,0.0,0.097497256,0.0,0.533333333,0.097497256,106.6557377,15.60655738,57.01639344,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,6.0
90025600076095.0,0,2017-11-01,59.0,0.0,39506.73348,0.04511376,0.009555176,,0.027290054,0.0,0.522613821,0.454316249,0.415173575,0.0,0.211801799,0.011555544,0.817226619,0.211801799,331.3770492,8.557377049,87.65447667,2.0,2.0,4.0,3.0,4.0,4.0,0.0,10725.81852,0.0,0.0,,0.015438983,0.0,0.587728804,0.504485154,0.456971333,0.0,0.0789337,0.002332167,0.199495,0.0789337,331.3770492,8.557377049,81.89344262,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0
90025600082211.0,1,2017-11-01,64.0,0.0,96718.23679,0.029021368,0.455138889,,,0.0,0.501850408,0.423952812,0.374087325,0.0,15.68288889,,10.69444444,15.68288889,96.09836066,29.40983607,52.55737705,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.010695824,,0.019781054,,0.600064044,0.520474192,0.463419022,0.0,0.0,0.005204434,1.025111111,0.0,37.08196721,4.262295082,15.48360656,1.0,1.0,1.0,5.0,6.0,6.0,6.0,7.0,9.0
90025600084808.0,0,2017-11-01,58.0,0.0,9390.123403,0.020852337,0.01565732,,0.003877656,0.0,0.554567758,0.475749182,0.434511533,0.0,0.750866426,0.001158502,1.098826087,0.750866426,143.6721311,2.590163934,51.36065574,1.0,1.0,1.0,2.0,3.0,4.0,0.0,1952.064366,0.017551558,0.006060606,,,0.0,0.501850408,0.43422136,0.42328925,0.0,0.34530303,,0.943347826,0.34530303,18.6557377,15.57377049,17.1147541,1.0,1.0,1.0,0.0,1.0,2.0,3.0,5.0,7.0
90025600093457.0,0,2018-01-01,51.0,0.0,12097.37875,0.07372027,0.043607549,,0.023948718,0.0,0.518890786,0.444934007,0.406528482,0.0,0.591527253,0.005155777,0.975,0.591527253,81.70491803,4.360655738,31.64590164,1.0,1.0,1.0,1.0,3.0,4.0,0.0,7137.608447,0.024333255,0.021751055,,,0.0,0.548558782,0.465996013,0.418940991,0.0,0.893881857,,1.0,0.893881857,35.08196721,4.360655738,22.63387978,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
90025600097939.0,0,2018-01-01,52.0,0.0,43996.77775,0.013408788,0.014105952,,0.012792411,0.0,0.515357554,0.433194543,0.385722215,0.0,1.05199304,0.011566707,1.0,1.05199304,150.4262295,25.93442623,63.60655738,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2658.788627,0.04599886,0.020742857,,,0.0,0.501850408,0.423952812,0.374087325,0.0,0.450942857,,0.479514286,0.450942857,30.75409836,30.75409836,30.75409836,1.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,9.0
90025600102714.0,0,2018-02-01,39.0,0.0,23304.40654,0.01507859,0.013665365,,0.0,0.0,0.496825463,0.443116199,0.403793701,0.0,0.906276042,0.0,1.0,0.906276042,62.98360656,9.147540984,39.82295082,1.0,1.0,1.0,2.0,2.0,2.0,249.4437354,5109.913515,0.0459981,0.033588517,0.942281879,0.034894499,0.048815647,0.876877227,0.763840401,0.692097073,0.035645933,0.730215311,0.012935826,1.111575758,0.730215311,112.7868852,9.147540984,62.19672131,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0
90025600107611.0,0,2018-02-01,49.0,0.0,5786.759838,0.023317711,0.011852941,,,0.0,0.501850408,0.423952812,0.388267589,0.0,0.508323529,,1.428,0.508323529,21.57377049,21.21311475,21.39344262,1.0,1.0,1.0,0.0,0.0,2.0,0.0,143.4720009,0.291715286,0.013888889,,,0.0,0.501850408,0.423952812,0.405148855,0.0,0.047611111,,0.148722222,0.047611111,21.21311475,21.21311475,21.21311475,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0
90025600109498.0,0,2018-02-01,35.0,0.0,44306.39718,0.039152859,0.031756053,,0.015865259,0.0,0.501850408,0.430275386,0.389761379,0.0,0.811078762,0.006082193,1.0,0.811078762,45.96721311,20.19672131,32.1147541,1.0,3.0,3.0,0.0,0.0,2.0,0.0,26544.99875,0.008930317,0.007724198,,,0.0,0.492381533,0.418446931,0.375335645,0.0,0.864941087,,1.010968348,0.864941087,93.7704918,20.19672131,46.28196721,1.0,1.0,1.0,0.0,0.0,1.0,5.0,18.0,23.0
90025700893081.0,1,2017-07-01,52.0,0.0,8818.020165,0.048708458,0.019603803,,0.0,0.0,0.520328673,0.467898523,0.43018585,0.0,0.402472266,0.0,0.51192,0.402472266,101.8688525,9.737704918,36.93676815,1.0,1.0,1.0,4.0,6.0,6.0,0.0,8647.534739,0.034731982,0.009443231,,0.0,0.0,0.494265069,0.443095831,0.415779065,0.0,0.271888646,0.0,0.51192,0.271888646,48.49180328,5.049180328,23.67213115,1.0,1.0,1.0,6.0,8.0,8.0,22.0,26.0,38.0
90025700895273.0,1,2017-08-01,44.0,580.6162597,5057.974322,0.201998768,0.196733333,1.759689922,0.073266667,0.114792251,1.285863602,1.101428209,0.994428267,0.1118,0.973933333,0.032947596,1.0,0.973933333,81.63934426,8.360655738,34.83060109,7.0,7.0,7.0,2.0,4.0,4.0,0.0,4477.011839,0.091640244,0.079,,0.073266667,0.0,0.611972165,0.588070589,0.588070589,0.0,0.862066667,0.036633333,1.0,0.862066667,14.49180328,14.49180328,14.49180328,2.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,6.0
90025700916014.0,0,2018-04-01,30.0,0.0,0.0,,,,0.0,,0.501850408,0.441791665,0.441791665,0.0,0.0,0.0,0.955466667,0.0,17.70491803,17.70491803,17.70491803,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,,0.501850408,0.441791665,0.441791665,0.0,0.0,0.0,0.955466667,0.0,17.70491803,17.70491803,17.70491803,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
